"Binomial","MeanTemp_1Km","MeanPrecip_1Km","TempSeas_1Km","PrecipSeas_1Km","MeanTemp_5Km","MeanPrecip_5Km","TempSeas_5Km","PrecipSeas_5Km","MeanTemp_50Km","TempSeas_50Km","MeanPrecip_50Km","PrecipSeas_50Km"
"Mastomys_natalensis",24.0627536773682,1037.05407714844,179.639099121094,90.2947769165039,24.0633506774902,1037.27783203125,179.59716796875,90.28662109375,24.0640163421631,179.632019042969,1037.13049316406,90.2911148071289
"Mastomys_pernanus",20.8553943634033,1045.00732421875,94.8801651000977,58.3609275817871,20.8554878234863,1044.92639160156,94.8544921875,58.3348579406738,20.8905143737793,95.6161422729492,1031.60546875,58.9634017944336
"Mastomys_shortridgei",22.0380249023438,659.328063964844,335.415954589844,110.304565429688,22.0379848480225,659.335083007812,335.409362792969,110.305686950684,22.0300178527832,335.466613769531,659.89794921875,110.282043457031
"Megadendromus_nikolausi",10.5441732406616,1159.49890136719,71.5492553710938,57.7299270629883,10.6029214859009,1158.32360839844,71.2464828491211,57.6676292419434,12.4844522476196,74.5173568725586,1084.55871582031,57.7785491943359
"Megaloglossus_azagnyi",25.9392013549805,2071.0126953125,96.025993347168,64.486572265625,25.9408760070801,2070.04223632812,96.0348358154297,64.5250930786133,25.9400100708008,96.245475769043,2068.1591796875,64.6454696655273
"Megaloglossus_woermanni",24.0833721160889,1649.78527832031,72.0847396850586,55.1897125244141,24.0849914550781,1650.60949707031,72.0666732788086,55.1963882446289,24.0836315155029,72.1178512573242,1650.27331542969,55.2209281921387
"Meriones_grandis",16.6686515808105,353.543670654297,669.510864257812,51.6065673828125,16.6714553833008,353.779266357422,669.059997558594,51.636402130127,16.6851329803467,668.890930175781,353.171905517578,51.6910934448242
"Meriones_shawi",17.8927841186523,288.641357421875,659.850402832031,60.3191833496094,17.895393371582,288.887878417969,659.497924804688,60.3573226928711,17.9040641784668,659.599670410156,288.139343261719,60.3240966796875
"Microdillus_peeli",26.6459045410156,266.533172607422,142.913955688477,111.013679504395,26.6454639434814,266.498870849609,142.902725219727,111.016426086426,26.5816612243652,143.281387329102,268.435485839844,110.589828491211
"Micropotamogale_lamottei",24.3274688720703,2059.935546875,72.5378112792969,68.0566482543945,24.3382949829102,2059.9697265625,72.4766387939453,68.0439147949219,24.5395278930664,73.2528839111328,2059.70092773438,67.7417907714844
"Micropotamogale_ruwenzorii",17.7139358520508,1517.90368652344,33.6564788818359,40.930908203125,17.7228412628174,1517.23596191406,33.4807815551758,40.8904685974121,18.3339977264404,33.2843132019043,1471.75610351562,41.2268486022949
"Micropteropus_intermedius",23.4349822998047,1466.197265625,88.9527206420898,66.4605102539062,23.4352703094482,1466.14721679688,88.9077911376953,66.4598159790039,23.4368896484375,88.7489776611328,1465.63146972656,66.4854125976562
"Micropteropus_pusillus",24.841947555542,1369.47961425781,122.62947845459,78.524040222168,24.8427829742432,1369.70275878906,122.593460083008,78.5354461669922,24.8422336578369,122.643676757812,1369.46911621094,78.554817199707
"Mimetillus_moloneyi",23.1262130737305,1267.20422363281,150.43115234375,77.3373184204102,23.1287078857422,1268.02099609375,150.371276855469,77.3219680786133,23.1301765441895,150.39990234375,1268.22058105469,77.3700637817383
"Miniopterus_fraterculus",21.2378730773926,932.488830566406,259.526763916016,95.1466445922852,21.2371673583984,932.372985839844,259.509063720703,95.1071014404297,21.240873336792,259.618957519531,931.787292480469,95.1088027954102
"Miniopterus_inflatus",23.7034606933594,1546.49536132812,69.9761581420898,51.6476631164551,23.7035484313965,1546.48413085938,69.9248733520508,51.6437034606934,23.7099704742432,70.0562744140625,1545.85400390625,51.6885528564453
"Miniopterus_minor",24.3063640594482,1390.90283203125,117.504913330078,65.4132080078125,24.3067359924316,1390.74389648438,117.481750488281,65.4046936035156,24.2907619476318,117.46329498291,1390.18823242188,65.5111694335938
"Miniopterus_natalensis",21.0280742645264,661.019104003906,311.759216308594,93.4317016601562,21.028470993042,660.928466796875,311.721893310547,93.4113159179688,21.0364227294922,311.745452880859,660.637939453125,93.4227828979492
"Miopithecus_ogouensis",24.2862968444824,1785.86437988281,100.48690032959,64.4882049560547,24.2877292633057,1785.96716308594,100.507843017578,64.4997329711914,24.2881355285645,100.467803955078,1786.19812011719,64.5107192993164
"Miopithecus_talapoin",23.7970542907715,1291.24694824219,113.28889465332,74.4553833007812,23.7976875305176,1290.90759277344,113.293525695801,74.4575042724609,23.8024158477783,113.119804382324,1290.89367675781,74.4099273681641
"Mops_brachypterus",24.7401237487793,1726.27404785156,76.5715637207031,50.1204528808594,24.7414417266846,1726.15454101562,76.5692749023438,50.1383476257324,24.7439250946045,76.6630172729492,1725.76245117188,50.2117958068848
"Mops_condylurus",24.2117805480957,1110.63146972656,166.030471801758,91.4096603393555,24.2124919891357,1110.7255859375,165.996002197266,91.4085006713867,24.2113265991211,166.010192871094,1110.87707519531,91.4197845458984
"Mops_congicus",24.1163330078125,1666.498046875,56.6589431762695,42.978687286377,24.1163578033447,1666.49658203125,56.6215972900391,42.9763832092285,24.1170597076416,56.7746543884277,1666.94409179688,43.0020294189453
"Mops_demonstrator",26.3941860198975,1076.03002929688,164.538284301758,94.7607192993164,26.3941421508789,1076.0146484375,164.513809204102,94.7605361938477,26.3916034698486,164.52067565918,1076.13293457031,94.7600250244141
"Mops_nanulus",24.4180564880371,1731.85803222656,68.2986831665039,49.830738067627,24.4187660217285,1732.09484863281,68.2770690917969,49.8368377685547,24.4169864654541,68.3373489379883,1731.38537597656,49.8716049194336
"Mops_niangarae",24.5313014984131,1651.08154296875,89.665283203125,52.8205604553223,24.5309429168701,1651.12023925781,89.6465606689453,52.8186950683594,24.4936962127686,89.5999221801758,1653.06811523438,52.7895851135254
"Mops_niveiventer",21.812463760376,1208.57421875,153.231063842773,90.6969909667969,21.8125,1208.55944824219,153.192565917969,90.6959686279297,21.8131999969482,153.229064941406,1208.35693359375,90.692756652832
"Mops_petersoni",24.8142890930176,2035.56469726562,95.255256652832,66.6036605834961,24.813455581665,2035.55322265625,95.2233047485352,66.6025161743164,24.7467498779297,95.2507019042969,2034.78271484375,66.7036819458008
"Mops_spurrelli",24.8810920715332,1780.60913085938,71.8160629272461,47.3342666625977,24.8817520141602,1780.65270996094,71.7991561889648,47.3461151123047,24.8831081390381,71.8998947143555,1780.20458984375,47.4326210021973
"Mops_thersites",24.4616241455078,1753.24951171875,62.6707801818848,45.699161529541,24.4624710083008,1753.61437988281,62.6462554931641,45.7085800170898,24.464485168457,62.7220230102539,1753.32763671875,45.7597999572754
"Mops_trevori",25.2488117218018,1389.35241699219,102.579986572266,56.5772323608398,25.2517509460449,1389.14819335938,102.579048156738,56.6096725463867,25.2504482269287,102.644927978516,1389.65698242188,56.7024307250977
"Mungos_gambianus",26.311408996582,1535.57055664062,142.140609741211,82.7976531982422,26.3125762939453,1536.95190429688,142.046203613281,82.8366241455078,26.3143749237061,142.068023681641,1536.74438476562,82.8824920654297
"Mungos_mungo",23.5492744445801,940.339660644531,185.329116821289,92.4600830078125,23.5496730804443,940.357482910156,185.298202514648,92.4581604003906,23.5485343933105,185.282943725586,940.385375976562,92.4695510864258
"Muriculus_imberbis",16.0428352355957,1090.18884277344,106.820121765137,92.765869140625,16.0490398406982,1090.03479003906,106.645606994629,92.7610473632812,16.5513687133789,109.846328735352,1078.08288574219,92.6419067382812
